Time,Open,High,Low,Close,IV
20240108-09:15,4824697.5,4824842.5,4822195.0,4823515.0,0.1350383161285714
20240108-09:16,4823107.5,4829270.0,4822602.5,4828215.0,0.13405818888333337
20240108-09:17,4828222.5,4830925.0,4828222.5,4828937.5,0.13533581035932202
20240108-09:18,4828665.0,4830190.0,4828665.0,4829157.5,0.1354562550366666
20240108-09:19,4829202.5,4829495.0,4828415.0,4828850.0,0.13575602701355932
20240108-09:20,4828882.5,4829940.0,4827605.0,4827617.5,0.13457484113859622
20240108-09:21,4827607.5,4827812.5,4826280.0,4826730.0,0.13396718901752228
20240108-09:22,4826730.0,4828492.5,4826702.5,4828140.0,0.13400702164197975
20240108-09:23,4828662.5,4833305.0,4828635.0,4832652.5,0.13499092641613145
20240108-09:24,4833495.0,4836070.0,4832882.5,4835895.0,0.13544575957964738
20240108-09:25,4835997.5,4835997.5,4831907.5,4833707.5,0.13466743874753487
20240108-09:26,4833077.5,4833187.5,4832022.5,4832477.5,0.1341349428301354
20240108-09:27,4831862.5,4832407.5,4830327.5,4830327.5,0.133991442773667
20240108-09:28,4830047.5,4830047.5,4825547.5,4825710.0,0.13318626230902256
20240108-09:29,4825697.5,4825925.0,4824240.0,4824240.0,0.1331832694629377
20240108-09:30,4824405.0,4827130.0,4823815.0,4826065.0,0.13257264513466505
20240108-09:31,4825900.0,4826965.0,4823887.5,4824030.0,0.1335023091628707
20240108-09:32,4824030.0,4827222.5,4823710.0,4827025.0,0.13350182475165362
20240108-09:33,4827102.5,4827102.5,4823652.5,4823652.5,0.13348761222106734
20240108-09:34,4823605.0,4823817.5,4821552.5,4821605.0,0.1345064627266507
20240108-09:35,4822007.5,4823560.0,4821645.0,4822490.0,0.1343731251261354
20240108-09:36,4822257.5,4822260.0,4818705.0,4820335.0,0.13587239922406152
20240108-09:37,4821537.5,4822135.0,4818345.0,4818535.0,0.13534345741252204
20240108-09:38,4819095.0,4819095.0,4816892.5,4817292.5,0.13682548579919754
20240108-09:39,4817370.0,4819520.0,4817332.5,4818730.0,0.13645409512341478
20240108-09:40,4818892.5,4819145.0,4815732.5,4815732.5,0.13713421797724115
20240108-09:41,4815787.5,4818620.0,4815750.0,4817342.5,0.13752073629844494
20240108-09:42,4817320.0,4818695.0,4816882.5,4817260.0,0.1363898641508025
20240108-09:43,4817430.0,4817707.5,4815470.0,4817422.5,0.13696095808768982
20240108-09:44,4817865.0,4820237.5,4817585.0,4819570.0,0.13595433152058153
20240108-09:45,4819335.0,4819467.5,4814625.0,4815515.0,0.13622786473885937
20240108-09:46,4815520.0,4817810.0,4815520.0,4817810.0,0.13621176703572457
20240108-09:47,4817755.0,4817767.5,4815205.0,4815702.5,0.13680031333874826
20240108-09:48,4815695.0,4816982.5,4815647.5,4816595.0,0.13692298151335103
20240108-09:49,4816545.0,4816770.0,4815170.0,4815360.0,0.1372902372821142
20240108-09:50,4815532.5,4816952.5,4815192.5,4816475.0,0.13658752884166542
20240108-09:51,4816577.5,4818130.0,4815820.0,4817807.5,0.13627566032189067
20240108-09:52,4817807.5,4818812.5,4817205.0,4818062.5,0.1355902301419417
20240108-09:53,4817775.0,4817775.0,4813182.5,4815150.0,0.1351995144294787
20240108-09:54,4815090.0,4818622.5,4814750.0,4817830.0,0.13445686469652277
20240108-09:55,4817252.5,4818170.0,4816450.0,4818160.0,0.1344300373299903
20240108-09:56,4818155.0,4818377.5,4817367.5,4817500.0,0.13473225081454637
20240108-09:57,4817740.0,4818090.0,4815817.5,4816870.0,0.1345712128130478
20240108-09:58,4816865.0,4817535.0,4816742.5,4817515.0,0.13462724959631786
20240108-09:59,4817522.5,4817850.0,4816250.0,4816287.5,0.13476423283399536
20240108-10:00,4816190.0,4817280.0,4814510.0,4817280.0,0.1348517131977265
20240108-10:01,4816987.5,4818497.5,4816795.0,4818460.0,0.1347557778806744
20240108-10:02,4818645.0,4820872.5,4816857.5,4817135.0,0.13323272144195472
20240108-10:03,4817357.5,4820537.5,4817200.0,4820347.5,0.13302110857612157
20240108-10:04,4820335.0,4821280.0,4817170.0,4817185.0,0.1327434335247257
20240108-10:05,4817162.5,4818095.0,4816765.0,4816797.5,0.13373004059197516
20240108-10:06,4816830.0,4816830.0,4815815.0,4815880.0,0.13370504356476448
20240108-10:07,4816735.0,4817217.5,4816447.5,4816447.5,0.13404511100362712
20240108-10:08,4816447.5,4817935.0,4815335.0,4817555.0,0.13396262895690117
20240108-10:09,4817557.5,4817787.5,4815837.5,4815837.5,0.1336224622498877
20240108-10:10,4815830.0,4816792.5,4815830.0,4816650.0,0.13358200288918926
20240108-10:11,4816650.0,4817090.0,4816130.0,4816130.0,0.1335435299383811
20240108-10:12,4816410.0,4817980.0,4816410.0,4817810.0,0.13321024545997054
20240108-10:13,4817807.5,4818697.5,4817015.0,4818697.5,0.1330247522305192
20240108-10:14,4818695.0,4819767.5,4818687.5,4819465.0,0.13175232960200323
20240108-10:15,4819625.0,4820740.0,4817825.0,4818017.5,0.1322808660826732
20240108-10:16,4818875.0,4819470.0,4818312.5,4818340.0,0.132570597219415
20240108-10:17,4818305.0,4818742.5,4817755.0,4817912.5,0.13311607488198163
20240108-10:18,4818010.0,4818100.0,4815830.0,4815830.0,0.1333243499142805
20240108-10:19,4815852.5,4816332.5,4812177.5,4812670.0,0.13395093647433468
20240108-10:20,4812625.0,4813275.0,4810785.0,4812250.0,0.13336334615327067
20240108-10:21,4812292.5,4813225.0,4811812.5,4812342.5,0.13302540757763007
20240108-10:22,4812607.5,4814637.5,4812365.0,4814637.5,0.13289410628207665
20240108-10:23,4814622.5,4817092.5,4814302.5,4816467.5,0.13202018920800246
20240108-10:24,4816517.5,4816855.0,4814730.0,4814730.0,0.13197859310491933
20240108-10:25,4814730.0,4815507.5,4813512.5,4815015.0,0.13208299885129182
